Observers_PepperObserver_Encoder_encoderFiniteDifferences_0;Observers_PepperObserver_Encoder_encoderFiniteDifferences_1;Observers_PepperObserver_Encoder_encoderFiniteDifferences_2;Observers_PepperObserver_Encoder_encoderFiniteDifferences_3;Observers_PepperObserver_Encoder_encoderFiniteDifferences_4;Observers_PepperObserver_Encoder_encoderFiniteDifferences_5;Observers_PepperObserver_Encoder_encoderFiniteDifferences_6;Observers_PepperObserver_Encoder_encoderFiniteDifferences_7;Observers_PepperObserver_Encoder_encoderFiniteDifferences_8;Observers_PepperObserver_Encoder_encoderFiniteDifferences_9;Observers_PepperObserver_Encoder_encoderFiniteDifferences_10;Observers_PepperObserver_Encoder_encoderFiniteDifferences_11;_angularAcceleration_x;_angularAcceleration_y;_angularAcceleration_z;_angularVelocity_x;_angularVelocity_y;_angularVelocity_z;_linearAcceleration_x;_linearAcceleration_y;_linearAcceleration_z;_linearVelocity_x;_linearVelocity_y;_linearVelocity_z;_orientation_w;_orientation_x;_orientation_y;_orientation_z;_position_x;_position_y;_position_z;ff_qw;ff_qx;ff_qy;ff_qz;ff_tx;ff_ty;ff_tz;perf_ControllerRun;perf_FrameworkCost;perf_GlobalRun;perf_Gui;perf_Log;perf_ObserversRun;perf_SolverBuildAndSolve;perf_SolverSolve;qDDotOut_0;qDDotOut_1;qDDotOut_2;qDDotOut_3;qDDotOut_4;qDDotOut_5;qDDotOut_6;qDDotOut_7;qDDotOut_8;qDDotOut_9;qDDotOut_10;qDDotOut_11;qDotOut_0;qDotOut_1;qDotOut_2;qDotOut_3;qDotOut_4;qDotOut_5;qDotOut_6;qDotOut_7;qDotOut_8;qDotOut_9;qDotOut_10;qDotOut_11;qIn_0;qIn_1;qIn_2;qIn_3;qIn_4;qIn_5;qIn_6;qIn_7;qIn_8;qIn_9;qIn_10;qIn_11;qOut_0;qOut_1;qOut_2;qOut_3;qOut_4;qOut_5;qOut_6;qOut_7;qOut_8;qOut_9;qOut_10;qOut_11;t;tauIn_0;tauIn_1;tauIn_2;tauIn_3;tauIn_4;tauIn_5;tauIn_6;tauIn_7;tauIn_8;tauIn_9;tauIn_10;tauIn_11;tauOut_0;tauOut_1;tauOut_2;tauOut_3;tauOut_4;tauOut_5;tauOut_6;tauOut_7;tauOut_8;tauOut_9;tauOut_10;tauOut_11;timeWall
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0.010546;0.018647;0;0.017461;0;0;0;0;0;0;0;0;-1.46445;-0.936297;-5.74928;2.69493;0;0;0;0;0;0;0;0;-0.0146445;-0.00936297;-0.0574928;0.0269493;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0214341;0.496485;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.496485;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56612;-0.145775;1.5613;0.00627069;-0.023052;0.495606;0;0.096;0.256;0;0.096;0;0;0.128;0.256;0.128;0.128;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.154889;0.000996696;-6.26092e-09;-5.84798e-07;-3.01464e-07;2.05819e-09;1676680337038244415
0;0;0;0;-0.153399;-0.0878692;0;0;0;0;-0.153399;0.0878811;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2001.29;0.0143551;2001.57;0.005308;0.142337;0.030102;0.522484;0.064883;0;0;0;0;0;0;-1.3711;-0.876612;-5.38279;2.52314;0;0;0;0;0;0;0;0;-0.0283555;-0.0181291;-0.111321;0.0521808;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0214341;0.496485;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.496485;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56591;-0.145912;1.56046;0.00666634;-0.023052;0.495606;0.01;0.096;0.256;0;0.096;0;0;0.128;0.256;0.128;0.128;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.151364;0.0010116;-5.86238e-09;-5.87108e-07;-3.01959e-07;1.92421e-09;1676680337042550071
0;0;0;0;0.153399;0.0878692;0;0;0;0;0;-0.0878811;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.391881;32.0208;0.576472;0.003771;0.100711;0.01327;0.171111;0.020883;0;0;0;0;0;0;-1.28223;-0.819796;-5.03391;2.35961;0;0;0;0;0;0;0;0;-0.0411778;-0.026327;-0.16166;0.0757769;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56556;-0.146135;1.5591;0.00730613;-0.023052;0.495606;0.02;0.096;0.256;0;0.096;0;0;0.16;0.256;0.128;0.16;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.148185;0.0010275;-5.4833e-09;-5.89222e-07;-3.02395e-07;1.79519e-09;1676680337045494099
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.156515;32.1935;0.230826;0.003282;0.035759;0.016343;0.071867;0.007543;0;0;0;0;0;0;-1.19766;-0.765724;-4.70189;2.20398;0;0;0;0;0;0;0;0;-0.0531544;-0.0339843;-0.208679;0.0978167;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56509;-0.146436;1.55724;0.00817409;-0.023052;0.495606;0.03;0.096;0.256;0;0.096;0;0;0.16;0.256;0.128;0.16;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.145333;0.00104436;-5.12279e-09;-5.91145e-07;-3.02776e-07;1.67118e-09;1676680337048302284
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.193391;33.6288;0.291378;0.021371;0.05301;0.009917;0.088838;0.010616;0;0;0;0;0;0;-1.1172;-0.71428;-4.386;2.05591;0;0;0;0;0;0;0;0;-0.0643264;-0.0411271;-0.252539;0.118376;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.5645;-0.146812;1.55494;0.00925506;-0.023052;0.495606;0.04;0.096;0.256;0;0.096;0;0;0.16;0.256;0.128;0.16;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.142792;0.00106215;-4.78e-09;-5.92881e-07;-3.03108e-07;1.55218e-09;1676680337051228572
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.117124;41.2612;0.199398;0.002863;0.032895;0.012711;0.051752;0.006565;0;0;0;0;0;0;-1.04067;-0.66535;-4.08554;1.91507;0;0;0;0;0;0;0;0;-0.074733;-0.0477806;-0.293394;0.137526;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.5638;-0.147256;1.55221;0.0105346;-0.023052;0.495606;0.05;0.096;0.256;0;0.096;0;0;0.16;0.256;0.128;0.16;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.140545;0.00108083;-4.45412e-09;-5.94435e-07;-3.03394e-07;1.43818e-09;1676680337053979697
0;0;0;0;0;-0.0878692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.165664;35.8227;0.258135;0.004261;0.051403;0.025212;0.071448;0.009428;0;0;0;0;0;0;-0.967895;-0.618824;-3.79985;1.78115;0;0;0;0;0;0;0;0;-0.084412;-0.0539688;-0.331392;0.155338;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.496485;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56301;-0.147765;1.54908;0.0119989;-0.023052;0.495606;0.06;0.096;0.256;0;0.096;0;0;0.16;0.256;0.16;0.128;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.138575;0.00110034;-4.14439e-09;-5.95811e-07;-3.03636e-07;1.32914e-09;1676680337057028487
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.316102;35.2876;0.488472;0.003772;0.097289;0.032965;0.126762;0.020603;0;0;0;0;0;0;-0.898722;-0.574598;-3.52829;1.65386;0;0;0;0;0;0;0;0;-0.0933992;-0.0597148;-0.366675;0.171877;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.496485;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56212;-0.148333;1.54559;0.013635;-0.023052;0.495606;0.07;0.096;0.256;0;0.096;0;0;0.16;0.256;0.16;0.128;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.136868;0.00112065;-3.85007e-09;-5.97014e-07;-3.03837e-07;1.22499e-09;1676680337059958476
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.445658;21.3098;0.566345;0.002444;0.045746;0.009848;0.223074;0.025562;0;0;0;0;0;0;-0.832992;-0.532573;-3.27024;1.5329;0;0;0;0;0;0;0;0;-0.101729;-0.0650405;-0.399378;0.187206;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.496485;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56114;-0.148957;1.54176;0.0154304;-0.023052;0.495606;0.08;0.096;0.256;0;0.096;0;0;0.16;0.256;0.16;0.128;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.135406;0.0011417;-3.57046e-09;-5.98047e-07;-3.04001e-07;1.12564e-09;1676680337064204349
0;0;0;0;0;0.0878692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.120337;33.217;0.180191;0.023397;0.029124;0.011454;0.055524;0.006565;0;0;0;0;0;0;-0.770552;-0.492653;-3.02511;1.418;0;0;0;0;0;0;0;0;-0.109435;-0.0699671;-0.429629;0.201386;0;0;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56619;-0.145728;1.56159;0.00613594;-0.024586;0.495606;1.57233;0.147262;-1.57233;-0.00766993;0.0229681;0.497364;1.56009;-0.149632;1.53762;0.0173733;-0.023052;0.495606;0.09;0.096;0.256;0;0.096;0;0;0.128;0.256;0.16;0.16;0;0;-0.0936139;-0.00117396;0;-6.07863e-07;-3.02634e-07;0;0.134177;0.00116343;-3.3049e-09;-5.98917e-07;-3.04128e-07;1.03102e-09;1676680337066877182
