Observers_PepperObserver_Encoder_encoderFiniteDifferences_0;Observers_PepperObserver_Encoder_encoderFiniteDifferences_1;Observers_PepperObserver_Encoder_encoderFiniteDifferences_2;Observers_PepperObserver_Encoder_encoderFiniteDifferences_3;Observers_PepperObserver_Encoder_encoderFiniteDifferences_4;Observers_PepperObserver_Encoder_encoderFiniteDifferences_5;Observers_PepperObserver_Encoder_encoderFiniteDifferences_6;Observers_PepperObserver_Encoder_encoderFiniteDifferences_7;Observers_PepperObserver_Encoder_encoderFiniteDifferences_8;Observers_PepperObserver_Encoder_encoderFiniteDifferences_9;Observers_PepperObserver_Encoder_encoderFiniteDifferences_10;Observers_PepperObserver_Encoder_encoderFiniteDifferences_11;_angularAcceleration_x;_angularAcceleration_y;_angularAcceleration_z;_angularVelocity_x;_angularVelocity_y;_angularVelocity_z;_linearAcceleration_x;_linearAcceleration_y;_linearAcceleration_z;_linearVelocity_x;_linearVelocity_y;_linearVelocity_z;_orientation_w;_orientation_x;_orientation_y;_orientation_z;_position_x;_position_y;_position_z;ff_qw;ff_qx;ff_qy;ff_qz;ff_tx;ff_ty;ff_tz;perf_ControllerRun;perf_FrameworkCost;perf_GlobalRun;perf_Gui;perf_Log;perf_ObserversRun;perf_SolverBuildAndSolve;perf_SolverSolve;qDDotOut_0;qDDotOut_1;qDDotOut_2;qDDotOut_3;qDDotOut_4;qDDotOut_5;qDDotOut_6;qDDotOut_7;qDDotOut_8;qDDotOut_9;qDDotOut_10;qDDotOut_11;qDotOut_0;qDotOut_1;qDotOut_2;qDotOut_3;qDotOut_4;qDotOut_5;qDotOut_6;qDotOut_7;qDotOut_8;qDotOut_9;qDotOut_10;qDotOut_11;qIn_0;qIn_1;qIn_2;qIn_3;qIn_4;qIn_5;qIn_6;qIn_7;qIn_8;qIn_9;qIn_10;qIn_11;qOut_0;qOut_1;qOut_2;qOut_3;qOut_4;qOut_5;qOut_6;qOut_7;qOut_8;qOut_9;qOut_10;qOut_11;t;tauIn_0;tauIn_1;tauIn_2;tauIn_3;tauIn_4;tauIn_5;tauIn_6;tauIn_7;tauIn_8;tauIn_9;tauIn_10;tauIn_11;tauOut_0;tauOut_1;tauOut_2;tauOut_3;tauOut_4;tauOut_5;tauOut_6;tauOut_7;tauOut_8;tauOut_9;tauOut_10;tauOut_11;timeWall
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0.013828;0.00908;0;0.021023;0;0;0;0;0;0;0;0;-18.0219;-1.23185;-3.79523;4.78188;0;0;0;0;0;0;0;0;-0.180219;-0.0123185;-0.0379523;0.0478188;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.0107379;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57296;-0.14579;1.57828;0.009443;-0.0276539;0.49297;0;0;0.288;0;0;0;0;0;0.288;0.128;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.530727;0.00536853;-1.55616e-09;-6.65029e-07;-3.29481e-07;4.29733e-10;1676679794814850620
0;0;0;0;0;0;0;0;0;0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2001.19;0.0173039;2001.54;0.003352;0.186547;0.015225;0.427848;0.038553;0;0;0;0;0;0;-16.8731;-1.15332;-3.5533;4.47705;0;0;0;0;0;0;0;0;-0.34895;-0.0238517;-0.0734853;0.0925893;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.0107379;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57032;-0.145971;1.57772;0.010145;-0.0276539;0.49297;0.01;0;0.288;0;0;0;0;0;0.288;0.128;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.50492;0.00512219;-1.45058e-09;-6.65957e-07;-3.28946e-07;4.30223e-10;1676679794818281512
0;0;0;0;0;0;0;0;-0.153399;-0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.200934;30.6078;0.289563;0.00426;0.042603;0.020114;0.095193;0.009499;0;0;0;0;0;0;-15.7795;-1.07857;-3.323;4.18688;0;0;0;0;0;0;0;0;-0.506745;-0.0346374;-0.106715;0.134458;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57693;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.56604;-0.146263;1.57682;0.0112803;-0.0276539;0.49297;0.02;0;0.288;0;0;0;0;0;0.256;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.481666;0.00490119;-1.34685e-09;-6.68709e-07;-3.28787e-07;4.45545e-10;1676679794823853534
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.251429;33.2841;0.376865;0.002375;0.06635;0.008661;0.112514;0.01313;0;0;0;0;0;0;-14.7387;-1.00743;-3.10382;3.91073;0;0;0;0;0;0;0;0;-0.654133;-0.0447118;-0.137753;0.173565;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57693;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.56023;-0.14666;1.5756;0.0128204;-0.0276539;0.49297;0.03;0;0.288;0;0;0;0;0;0.256;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.460822;0.00470394;-1.24566e-09;-6.72912e-07;-3.28933e-07;4.72449e-10;1676679794826306366
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.126483;34.8325;0.194089;0.031988;0.036178;0.015854;0.058736;0.007124;0;0;0;0;0;0;-13.7485;-0.93975;-2.8953;3.64799;0;0;0;0;0;0;0;0;-0.791618;-0.0541093;-0.166706;0.210045;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57693;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.55301;-0.147154;1.57407;0.0147385;-0.0276539;0.49297;0.04;0;0.288;0;0;0;0;0;0.256;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.442254;0.00452894;-1.14764e-09;-6.78233e-07;-3.29316e-07;5.08149e-10;1676679794830284046
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.189899;42.962;0.332934;0.004191;0.059574;0.024025;0.075359;0.011524;0;0;0;0;0;0;-12.8067;-0.875374;-2.69696;3.39809;0;0;0;0;0;0;0;0;-0.919685;-0.062863;-0.193676;0.244026;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.54445;-0.147739;1.57227;0.0170088;-0.0276539;0.49297;0.05;0;0.32;0;0;0;0;0;0.288;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.425828;0.00437478;-1.05333e-09;-6.84369e-07;-3.29872e-07;5.50259e-10;1676679794833366150
0;0;0;0;0;0;0;0;0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.300179;35.3001;0.463956;0.00433;0.094007;0.02626;0.121315;0.016482;0;0;0;0;0;0;-11.9112;-0.814162;-2.50837;3.16047;0;0;0;0;0;0;0;0;-1.0388;-0.0710046;-0.21876;0.275631;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.53466;-0.148408;1.57021;0.0196071;-0.0276539;0.49297;0.06;0;0.32;0;0;0;0;0;0.288;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.41142;0.00424011;-9.63157e-10;-6.91051e-07;-3.30542e-07;5.96746e-10;1676679794836838737
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.319874;34.8321;0.490846;0.002863;0.094425;0.013759;0.121873;0.017041;0;0;0;0;0;0;-11.0599;-0.755976;-2.3291;2.9346;0;0;0;0;0;0;0;0;-1.1494;-0.0785644;-0.242051;0.304977;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.52372;-0.149156;1.56791;0.0225101;-0.0276539;0.49297;0.07;0;0.32;0;0;0;0;0;0.288;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.398908;0.00412364;-8.77468e-10;-6.98035e-07;-3.31271e-07;6.4588e-10;1676679794839987260
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.169086;30.7294;0.244095;0.002933;0.038134;0.012362;0.078013;0.007124;0;0;0;0;0;0;-10.251;-0.700685;-2.15876;2.71997;0;0;0;0;0;0;0;0;-1.25191;-0.0855712;-0.263638;0.332177;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.51171;-0.149977;1.56538;0.0256959;-0.0276539;0.49297;0.08;0;0.32;0;0;0;0;0;0.288;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.388173;0.00402416;-7.96518e-10;-7.05108e-07;-3.3201e-07;6.96201e-10;1676679794842190409
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.146807;33.0999;0.219442;0.033943;0.036318;0.024235;0.068165;0.007124;0;0;0;0;0;0;-9.48263;-0.648163;-1.99694;2.51609;0;0;0;0;0;0;0;0;-1.34673;-0.0920529;-0.283608;0.357338;0;0;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.57386;-0.145728;1.57847;0.00920391;-0.0276539;0.49297;1.5708;0.147262;-1.57386;-0.00766993;0.02757;0.5;1.49872;-0.150865;1.56264;0.0291435;-0.0276539;0.49297;0.09;0;0.32;0;0;0;0;0;0.288;0.16;0;0;0;-0.0946274;-0.00118087;0;-6.05074e-07;-3.01704e-07;0;0.379103;0.00394051;-7.20479e-10;-7.12078e-07;-3.32712e-07;7.46481e-10;1676679794845540494
