Observers_PepperObserver_Encoder_encoderFiniteDifferences_0;Observers_PepperObserver_Encoder_encoderFiniteDifferences_1;Observers_PepperObserver_Encoder_encoderFiniteDifferences_2;Observers_PepperObserver_Encoder_encoderFiniteDifferences_3;Observers_PepperObserver_Encoder_encoderFiniteDifferences_4;Observers_PepperObserver_Encoder_encoderFiniteDifferences_5;Observers_PepperObserver_Encoder_encoderFiniteDifferences_6;Observers_PepperObserver_Encoder_encoderFiniteDifferences_7;Observers_PepperObserver_Encoder_encoderFiniteDifferences_8;Observers_PepperObserver_Encoder_encoderFiniteDifferences_9;Observers_PepperObserver_Encoder_encoderFiniteDifferences_10;Observers_PepperObserver_Encoder_encoderFiniteDifferences_11;_angularAcceleration_x;_angularAcceleration_y;_angularAcceleration_z;_angularVelocity_x;_angularVelocity_y;_angularVelocity_z;_linearAcceleration_x;_linearAcceleration_y;_linearAcceleration_z;_linearVelocity_x;_linearVelocity_y;_linearVelocity_z;_orientation_w;_orientation_x;_orientation_y;_orientation_z;_position_x;_position_y;_position_z;ff_qw;ff_qx;ff_qy;ff_qz;ff_tx;ff_ty;ff_tz;perf_ControllerRun;perf_FrameworkCost;perf_GlobalRun;perf_Gui;perf_Log;perf_ObserversRun;perf_SolverBuildAndSolve;perf_SolverSolve;qDDotOut_0;qDDotOut_1;qDDotOut_2;qDDotOut_3;qDDotOut_4;qDDotOut_5;qDDotOut_6;qDDotOut_7;qDDotOut_8;qDDotOut_9;qDDotOut_10;qDDotOut_11;qDotOut_0;qDotOut_1;qDotOut_2;qDotOut_3;qDotOut_4;qDotOut_5;qDotOut_6;qDotOut_7;qDotOut_8;qDotOut_9;qDotOut_10;qDotOut_11;qIn_0;qIn_1;qIn_2;qIn_3;qIn_4;qIn_5;qIn_6;qIn_7;qIn_8;qIn_9;qIn_10;qIn_11;qOut_0;qOut_1;qOut_2;qOut_3;qOut_4;qOut_5;qOut_6;qOut_7;qOut_8;qOut_9;qOut_10;qOut_11;t;tauIn_0;tauIn_1;tauIn_2;tauIn_3;tauIn_4;tauIn_5;tauIn_6;tauIn_7;tauIn_8;tauIn_9;tauIn_10;tauIn_11;tauOut_0;tauOut_1;tauOut_2;tauOut_3;tauOut_4;tauOut_5;tauOut_6;tauOut_7;tauOut_8;tauOut_9;tauOut_10;tauOut_11;timeWall
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0.00433;0.010616;0;0.021301;0;0;0;0;0;0;0;0;-4.44561;-3.15886;-30.6245;9.72277;0;0;0;0;0;0;0;0;-0.0444561;-0.0315886;-0.306245;0.0972277;0;0;1.57233;0.145728;-1.57233;-0.00766993;0.0229681;0.496485;1.58767;-0.147262;1.5754;0.00613594;0.00762796;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.59205;-0.145886;1.57387;0.00662208;0.00762796;0.49297;0;0.128;0.288;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.277451;-0.00135753;-3.35528e-08;-4.76581e-07;-2.74182e-07;8.96173e-09;1676680438486517811
0;0;0.153399;0;0;-0.0878692;-0.460196;-0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2001.29;0.0169647;2001.63;0.012991;0.179982;0.029613;0.478065;0.039531;0;0;0;0;0;0;-4.16222;-2.95749;-28.6723;9.10298;0;0;0;0;0;0;0;0;-0.0860783;-0.0611635;-0.592968;0.188258;0;0;1.57233;0.145728;-1.57233;-0.00766993;0.0229681;0.496485;1.58767;-0.147262;1.5754;0.00613594;0.00762796;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5914;-0.14635;1.56937;0.00804951;0.00762796;0.49297;0.01;0.128;0.288;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.265436;-0.00120598;-3.14215e-08;-4.86456e-07;-2.76062e-07;8.32495e-09;1676680438487304366
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.49748;31.7852;0.729285;0.004749;0.139962;0.028076;0.205055;0.018368;0;0;0;0;0;0;-3.89245;-2.76581;-26.8139;8.51299;0;0;0;0;0;0;0;0;-0.125003;-0.0888216;-0.861107;0.273387;0;0;1.57233;0.145728;-1.57233;-0.00766993;0.0229681;0.496485;1.58767;-0.147262;1.5754;0.00613594;0.00762796;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.59034;-0.1471;1.5621;0.0103577;0.00762796;0.49297;0.02;0.128;0.288;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.254337;-0.00106251;-2.93966e-08;-4.95882e-07;-2.7757e-07;7.6834e-09;1676680438490658293
0;0;-0.153399;0;0;0;0;0;0;0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.345366;34.5033;0.527303;0.026261;0.102038;0.013689;0.140242;0.020184;0;0;0;0;0;0;-3.63572;-2.58338;-25.0454;7.9515;0;0;0;0;0;0;0;0;-0.16136;-0.114655;-1.11156;0.352902;0;0;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.496485;1.58767;-0.147262;1.5754;0.00766993;0.00762796;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.58891;-0.148117;1.55224;0.0134892;0.00762796;0.49297;0.03;0.128;0.32;0;0;0;0;0.224;0.288;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.244107;-0.000925999;-2.74726e-08;-5.04808e-07;-2.78758e-07;7.04282e-09;1676680438493951179
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.167549;36.4;0.263442;0.002794;0.034781;0.009918;0.078292;0.008102;0;0;0;0;0;0;-3.39146;-2.40982;-23.3627;7.41729;0;0;0;0;0;0;0;0;-0.195274;-0.138754;-1.34519;0.427075;0;0;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.496485;1.58767;-0.147262;1.5754;0.00766993;0.00762796;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.58713;-0.149384;1.53995;0.0173891;0.00762796;0.49297;0.04;0.128;0.32;0;0;0;0;0.224;0.288;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.234693;-0.000795557;-2.56446e-08;-5.13189e-07;-2.79672e-07;6.40787e-09;1676680438496072753
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.11454;34.4786;0.174813;0.000908;0.03087;0.009568;0.050984;0.006216;0;0;0;0;0;0;-3.15913;-2.24474;-21.7623;6.90918;0;0;0;0;0;0;0;0;-0.226866;-0.161201;-1.56281;0.496167;0;0;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.496485;1.58767;-0.147262;1.5754;0.00766993;0.00762796;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.58502;-0.150884;1.52541;0.0220053;0.00762796;0.49297;0.05;0.128;0.32;0;0;0;0;0.224;0.288;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.226032;-0.000670493;-2.39076e-08;-5.2099e-07;-2.80351e-07;5.78223e-09;1676680438499121612
-0.153399;0;0;0;0;0.0878692;0.153399;0;0;-0.153399;0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.119569;35.0281;0.184032;0.002863;0.03534;0.012991;0.053289;0.006705;0;0;0;0;0;0;-2.93822;-2.08777;-20.2405;6.42604;0;0;0;0;0;0;0;0;-0.256248;-0.182079;-1.76522;0.560427;0;0;1.5708;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5892;-0.147262;1.5754;0.00613594;0.00916195;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5826;-0.1526;1.50877;0.0272882;0.00762796;0.49297;0.06;0.128;0.32;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.218061;-0.000550263;-2.2257e-08;-5.28183e-07;-2.80832e-07;5.16885e-09;1676680438501946420
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.148274;33.3015;0.222305;0.002863;0.037226;0.011315;0.064254;0.007124;0;0;0;0;0;0;-2.72824;-1.93857;-18.794;5.96679;0;0;0;0;0;0;0;0;-0.28353;-0.201464;-1.95316;0.620095;0;0;1.5708;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5892;-0.147262;1.5754;0.00613594;0.00916195;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5799;-0.154518;1.49018;0.0331909;0.00762796;0.49297;0.07;0.128;0.32;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.210716;-0.000434436;-2.06885e-08;-5.3475e-07;-2.81148e-07;4.57002e-09;1676680438504317748
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.140731;32.4957;0.208477;0.022908;0.03527;0.011384;0.064673;0.006216;0;0;0;0;0;0;-2.5287;-1.79678;-17.4195;5.53039;0;0;0;0;0;0;0;0;-0.308817;-0.219432;-2.12735;0.675399;0;0;1.5708;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5892;-0.147262;1.5754;0.00613594;0.00916195;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.57694;-0.156623;1.46978;0.0396683;0.00762796;0.49297;0.08;0.128;0.32;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.203935;-0.00032267;-1.91977e-08;-5.40679e-07;-2.81328e-07;3.98746e-09;1676680438509187095
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.130324;40.1156;0.217626;0.00426;0.034292;0.01774;0.056711;0.006984;0;0;0;0;0;0;-2.33915;-1.6621;-16.1137;5.11584;0;0;0;0;0;0;0;0;-0.332209;-0.236053;-2.28849;0.726558;0;0;1.5708;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.5892;-0.147262;1.5754;0.00613594;0.00916195;0.49297;1.57233;0.145728;-1.57386;-0.00766993;0.0229681;0.497364;1.57373;-0.1589;1.4477;0.0466781;0.00762796;0.49297;0.09;0.128;0.32;0;0;0;0;0.224;0.256;0;0.096;0;0;-0.0937667;-0.00117222;0;-6.09228e-07;-3.02909e-07;0;0.197657;-0.000214691;-1.77808e-08;-5.45964e-07;-2.81397e-07;3.42249e-09;1676680438512126513
