Observers_PepperObserver_Encoder_encoderFiniteDifferences_0;Observers_PepperObserver_Encoder_encoderFiniteDifferences_1;Observers_PepperObserver_Encoder_encoderFiniteDifferences_2;Observers_PepperObserver_Encoder_encoderFiniteDifferences_3;Observers_PepperObserver_Encoder_encoderFiniteDifferences_4;Observers_PepperObserver_Encoder_encoderFiniteDifferences_5;Observers_PepperObserver_Encoder_encoderFiniteDifferences_6;Observers_PepperObserver_Encoder_encoderFiniteDifferences_7;Observers_PepperObserver_Encoder_encoderFiniteDifferences_8;Observers_PepperObserver_Encoder_encoderFiniteDifferences_9;Observers_PepperObserver_Encoder_encoderFiniteDifferences_10;Observers_PepperObserver_Encoder_encoderFiniteDifferences_11;_angularAcceleration_x;_angularAcceleration_y;_angularAcceleration_z;_angularVelocity_x;_angularVelocity_y;_angularVelocity_z;_linearAcceleration_x;_linearAcceleration_y;_linearAcceleration_z;_linearVelocity_x;_linearVelocity_y;_linearVelocity_z;_orientation_w;_orientation_x;_orientation_y;_orientation_z;_position_x;_position_y;_position_z;ff_qw;ff_qx;ff_qy;ff_qz;ff_tx;ff_ty;ff_tz;perf_ControllerRun;perf_FrameworkCost;perf_GlobalRun;perf_Gui;perf_Log;perf_ObserversRun;perf_SolverBuildAndSolve;perf_SolverSolve;qDDotOut_0;qDDotOut_1;qDDotOut_2;qDDotOut_3;qDDotOut_4;qDDotOut_5;qDDotOut_6;qDDotOut_7;qDDotOut_8;qDDotOut_9;qDDotOut_10;qDDotOut_11;qDotOut_0;qDotOut_1;qDotOut_2;qDotOut_3;qDotOut_4;qDotOut_5;qDotOut_6;qDotOut_7;qDotOut_8;qDotOut_9;qDotOut_10;qDotOut_11;qIn_0;qIn_1;qIn_2;qIn_3;qIn_4;qIn_5;qIn_6;qIn_7;qIn_8;qIn_9;qIn_10;qIn_11;qOut_0;qOut_1;qOut_2;qOut_3;qOut_4;qOut_5;qOut_6;qOut_7;qOut_8;qOut_9;qOut_10;qOut_11;t;tauIn_0;tauIn_1;tauIn_2;tauIn_3;tauIn_4;tauIn_5;tauIn_6;tauIn_7;tauIn_8;tauIn_9;tauIn_10;tauIn_11;tauOut_0;tauOut_1;tauOut_2;tauOut_3;tauOut_4;tauOut_5;tauOut_6;tauOut_7;tauOut_8;tauOut_9;tauOut_10;tauOut_11;timeWall
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;100;0.003702;0.00426;0;0.019067;0;0;0;0;0;0;0;0;-11.7246;-1.75044;-9.58414;7.39197;0;0;0;0;0;0;0;0;-0.117246;-0.0175044;-0.0958414;0.0739197;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.57386;-0.145728;1.56773;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.57328;-0.145816;1.56725;0.0111075;-0.00924587;0.49297;0;0;0.224;0;0;0;0;0.224;0.32;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.423209;0.00333384;-9.01674e-09;-6.14252e-07;-3.14168e-07;2.40096e-09;1676680472942105576
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2000.75;0.00677863;2000.89;0.002305;0.066349;0.015784;0.210781;0.018996;0;0;0;0;0;0;-10.9772;-1.63886;-8.97319;6.92076;0;0;0;0;0;0;0;0;-0.227018;-0.0338929;-0.185573;0.143127;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.57386;-0.145728;1.56773;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.57156;-0.146073;1.56584;0.0121927;-0.00924587;0.49297;0.01;0;0.224;0;0;0;0;0.224;0.32;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.403723;0.00321106;-8.44003e-09;-6.15962e-07;-3.13822e-07;2.27246e-09;1676680472944408878
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.196604;30.4937;0.282858;0.006285;0.042324;0.030032;0.094007;0.010406;0;0;0;0;0;0;-10.2657;-1.53264;-8.39161;6.4722;0;0;0;0;0;0;0;0;-0.329675;-0.0492193;-0.269489;0.207849;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.57386;-0.145728;1.56773;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.56877;-0.146488;1.56357;0.0139476;-0.00924587;0.49297;0.02;0;0.224;0;0;0;0;0.224;0.32;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.386149;0.00310351;-7.89028e-09;-6.1805e-07;-3.134e-07;2.16324e-09;1676680472948090920
0;0;0;0;0;-0.0878692;0;0;0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.416255;33.497;0.625919;0.025353;0.117962;0.013409;0.189131;0.024585;0;0;0;0;0;0;-9.58863;-1.43155;-7.83812;6.04532;0;0;0;0;0;0;0;0;-0.425562;-0.0635348;-0.347871;0.268303;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.496485;1.57386;-0.145728;1.56926;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.565;-0.147052;1.56048;0.0163284;-0.00924587;0.49297;0.03;0;0.224;0;0.032;0;0;0.224;0.288;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.370387;0.00301034;-7.36687e-09;-6.20409e-07;-3.12915e-07;2.07015e-09;1676680472951175399
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.162102;36.55;0.25548;0.002374;0.034292;0.010755;0.075638;0.007962;0;0;0;0;0;0;-8.94443;-1.33537;-7.31153;5.63917;0;0;0;0;0;0;0;0;-0.515006;-0.0768885;-0.420986;0.324694;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.496485;1.57386;-0.145728;1.56926;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.56029;-0.147754;1.55664;0.0192934;-0.00924587;0.49297;0.04;0;0.224;0;0.032;0;0;0.224;0.288;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.356338;0.00293074;-6.86917e-09;-6.22938e-07;-3.12377e-07;1.99051e-09;1676680472953358434
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.123061;34.5949;0.188152;0.002864;0.03534;0.008171;0.056711;0.007054;0;0;0;0;0;0;-8.33171;-1.24389;-6.81066;5.25287;0;0;0;0;0;0;0;0;-0.598323;-0.0893274;-0.489093;0.377223;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.496485;1.57386;-0.145728;1.56926;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.55473;-0.148585;1.55209;0.0228029;-0.00924587;0.49297;0.05;0;0.224;0;0.032;0;0;0.224;0.288;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.343906;0.0028639;-6.39661e-09;-6.25537e-07;-3.11788e-07;1.92195e-09;1676680472956049146
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.112026;35.5046;0.173696;0.001466;0.034432;0.010546;0.049099;0.006635;0;0;0;0;0;0;-7.7491;-1.15691;-6.33442;4.88555;0;0;0;0;0;0;0;0;-0.675814;-0.100897;-0.552437;0.426078;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.496485;1.57386;-0.145728;1.56926;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.54836;-0.149536;1.54688;0.0268195;-0.00924587;0.49297;0.06;0;0.224;0;0.032;0;0;0.224;0.288;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.332999;0.00280904;-5.94853e-09;-6.28114e-07;-3.11148e-07;1.86243e-09;1676680472958198447
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.110629;36.0774;0.173067;0.001467;0.034083;0.008521;0.046794;0.006286;0;0;0;0;0;0;-7.19529;-1.07423;-5.88172;4.5364;0;0;0;0;0;0;0;0;-0.747767;-0.111639;-0.611254;0.471442;0;0;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.496485;1.57386;-0.145728;1.56926;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.54124;-0.150599;1.54106;0.0313071;-0.00924587;0.49297;0.07;0;0.224;0;0.032;0;0;0.224;0.288;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.323525;0.00276541;-5.5243e-09;-6.30581e-07;-3.10455e-07;1.81017e-09;1676680472960570962
0;0;0;-0.153399;0;0;0;0;-0.153399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.106298;38.5301;0.172927;0.028426;0.041765;0.013829;0.044908;0.006216;0;0;0;0;0;0;-6.66905;-0.995664;-5.45154;4.20461;0;0;0;0;0;0;0;0;-0.814457;-0.121595;-0.665769;0.513489;0;0;1.56773;0.148796;-1.57386;-0.00920391;0.0183661;0.496485;1.57386;-0.145728;1.56773;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.53343;-0.151765;1.53467;0.0362317;-0.00924587;0.49297;0.08;0;0.224;0;0;0;0;0.224;0.32;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.315395;0.00273229;-5.12321e-09;-6.32855e-07;-3.09704e-07;1.76365e-09;1676680472965657237
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.181518;38.1192;0.293335;0.003702;0.041486;0.016133;0.082412;0.009569;0;0;0;0;0;0;-6.16915;-0.921031;-5.0429;3.88944;0;0;0;0;0;0;0;0;-0.876149;-0.130806;-0.716198;0.552383;0;0;1.56773;0.148796;-1.57386;-0.00920391;0.0183661;0.496485;1.57386;-0.145728;1.56773;0.0107379;-0.00924587;0.49297;1.56773;0.148796;-1.57386;-0.00766993;0.0183661;0.497364;1.52497;-0.153027;1.52776;0.0415611;-0.00924587;0.49297;0.09;0;0.224;0;0;0;0;0.224;0.32;0.128;0;0;0;-0.096468;-0.00120538;0;-6.06458e-07;-3.02124e-07;0;0.308524;0.00270898;-4.74452e-09;-6.3486e-07;-3.08887e-07;1.72151e-09;1676680472969871192
